perm_acc,main_folder,sub_folder,processing_time
0.530166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute1000_WINS_BINS_FC_BOLD_all,1769148630
0.5025,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute100_WINS_BINS_FC_BOLD_all,1769148630
0.573666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute101_WINS_BINS_FC_BOLD_all,1769148613
0.5205,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute102_WINS_BINS_FC_BOLD_all,1769148613
0.513833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute103_WINS_BINS_FC_BOLD_all,1769148613
0.584,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute104_WINS_BINS_FC_BOLD_all,1769148642
0.521833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute105_WINS_BINS_FC_BOLD_all,1769148614
0.543,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute106_WINS_BINS_FC_BOLD_all,1769148614
0.434833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute107_WINS_BINS_FC_BOLD_all,1769148614
0.5425,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute108_WINS_BINS_FC_BOLD_all,1769148623
0.550833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute109_WINS_BINS_FC_BOLD_all,1769148623
0.438,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute10_WINS_BINS_FC_BOLD_all,1769148606
0.369,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute110_WINS_BINS_FC_BOLD_all,1769148622
0.505833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute111_WINS_BINS_FC_BOLD_all,1769148623
