"iteration","accuracy","mean_C"
1,0.533333333333333,0.2224
2,0.583333333333333,0.0442
3,0.5,0.6022
4,0.433333333333333,0.2422
5,0.483333333333333,0.262
6,0.55,0.0442
7,0.55,0.0424
8,0.566666666666667,0.2602
9,0.566666666666667,0.0622
10,0.616666666666667,0.0244
11,0.516666666666667,2.0242
12,0.416666666666667,0.262
13,0.516666666666667,0.2422
14,0.516666666666667,0.2422
15,0.516666666666667,0.46
16,0.55,0.4222
17,0.55,20.2402
18,0.466666666666667,0.0622
19,0.516666666666667,0.28
20,0.55,0.0082
21,0.516666666666667,0.0622
22,0.466666666666667,0.244
23,0.533333333333333,0.046
24,0.55,0.442
25,0.45,0.082
26,0.5,0.0604
27,0.566666666666667,0.0424
28,0.533333333333333,0.046
29,0.5,0.082
30,0.566666666666667,0.0046
31,0.5,0.0604
32,0.566666666666667,2.062
33,0.533333333333333,0.2242
34,0.55,0.064
35,0.483333333333333,0.0226
36,0.583333333333333,0.0442
37,0.483333333333333,2.6002
38,0.5,0.28
39,0.5,0.2422
40,0.533333333333333,0.0406
41,0.45,0.262
42,0.533333333333333,0.2242
43,0.566666666666667,0.0604
44,0.566666666666667,0.2206
45,0.466666666666667,0.4024
46,0.533333333333333,20.044
47,0.5,2.26
48,0.533333333333333,0.0244
49,0.533333333333333,0.0622
50,0.55,0.244
51,0.5,0.262
52,0.5,0.0604
53,0.533333333333333,0.4222
54,0.566666666666667,0.0064
55,0.566666666666667,0.0622
56,0.483333333333333,0.226
57,0.533333333333333,0.0424
58,0.55,0.2404
59,0.466666666666667,2.224
60,0.516666666666667,0.2422
61,0.5,0.244
62,0.55,0.262
63,0.6,0.064
64,0.5,0.244
65,0.516666666666667,0.406
66,0.483333333333333,0.064
67,0.566666666666667,0.0802
68,0.483333333333333,0.2602
69,0.516666666666667,0.064
70,0.533333333333333,0.262
71,0.566666666666667,0.406
72,0.6,0.2044
73,0.483333333333333,0.262
74,0.55,0.4222
75,0.55,0.0424
76,0.466666666666667,0.0442
77,0.533333333333333,0.0442
78,0.5,0.082
79,0.5,0.4222
80,0.45,0.082
81,0.5,0.0244
82,0.533333333333333,0.0406
83,0.566666666666667,0.2602
84,0.466666666666667,0.424
85,0.533333333333333,0.2422
86,0.483333333333333,20.0242
87,0.5,0.0442
88,0.566666666666667,0.082
89,0.55,0.0442
90,0.483333333333333,0.046
91,0.583333333333333,0.0424
92,0.516666666666667,0.064
93,0.483333333333333,0.046
94,0.5,0.0262
95,0.516666666666667,0.0442
96,0.5,0.262
97,0.466666666666667,0.2242
98,0.516666666666667,0.0442
99,0.566666666666667,0.2404
100,0.566666666666667,0.082
