"iteration","accuracy","mean_C"
1,0.583333333333333,0.001
2,0.55,0.001
3,0.55,0.001
4,0.55,0.001
5,0.6,0.001
6,0.583333333333333,0.0028
7,0.566666666666667,0.001
8,0.5,0.001
9,0.583333333333333,0.0028
10,0.533333333333333,2.0008
11,0.566666666666667,0.001
12,0.566666666666667,0.001
13,0.616666666666667,0.0028
14,0.65,0.001
15,0.583333333333333,0.001
16,0.55,0.001
17,0.45,0.001
18,0.6,0.001
19,0.583333333333333,200.0008
20,0.533333333333333,0.2008
21,0.566666666666667,200.0008
22,0.583333333333333,0.0208
23,0.55,2.0008
24,0.583333333333333,0.0028
25,0.583333333333333,0.0208
26,0.533333333333333,0.001
27,0.583333333333333,0.001
28,0.566666666666667,200.0008
29,0.516666666666667,20.0008
30,0.583333333333333,0.001
31,0.6,2.0008
32,0.483333333333333,0.2008
33,0.566666666666667,0.001
34,0.583333333333333,2.0008
35,0.6,0.001
36,0.616666666666667,0.001
37,0.566666666666667,0.001
38,0.616666666666667,0.001
39,0.566666666666667,0.001
40,0.533333333333333,0.001
41,0.566666666666667,0.001
42,0.583333333333333,0.001
43,0.616666666666667,0.0028
44,0.6,0.001
45,0.566666666666667,0.001
46,0.6,0.001
47,0.633333333333333,0.0028
48,0.55,0.001
49,0.55,0.2008
50,0.65,0.001
51,0.533333333333333,0.001
52,0.566666666666667,0.001
53,0.6,0.001
54,0.566666666666667,0.001
55,0.583333333333333,0.0208
56,0.566666666666667,0.001
57,0.566666666666667,0.001
58,0.6,0.001
59,0.6,0.001
60,0.583333333333333,2.0008
61,0.533333333333333,2.0008
62,0.566666666666667,0.001
63,0.583333333333333,0.001
64,0.55,0.001
65,0.583333333333333,0.001
66,0.566666666666667,2.0008
67,0.6,0.001
68,0.633333333333333,0.001
69,0.516666666666667,0.0208
70,0.566666666666667,0.001
71,0.533333333333333,0.001
72,0.466666666666667,0.001
73,0.6,0.001
74,0.55,0.0028
75,0.566666666666667,0.0028
76,0.6,0.001
77,0.616666666666667,0.0028
78,0.616666666666667,200.0008
79,0.633333333333333,200.0008
80,0.566666666666667,0.001
81,0.583333333333333,0.0028
82,0.533333333333333,0.001
83,0.55,0.0208
84,0.516666666666667,0.001
85,0.616666666666667,0.001
86,0.583333333333333,0.001
87,0.55,0.001
88,0.566666666666667,20.0008
89,0.55,0.0028
90,0.633333333333333,0.001
91,0.6,0.001
92,0.6,0.001
93,0.65,0.001
94,0.583333333333333,0.001
95,0.566666666666667,0.001
96,0.583333333333333,0.001
97,0.6,0.001
98,0.583333333333333,0.0028
99,0.5,0.001
100,0.566666666666667,0.001
