"iteration","accuracy","mean_C"
1,0.583333333333333,0.0208
2,0.55,0.2206
3,0.55,0.0028
4,0.583333333333333,0.0046
5,0.583333333333333,2.0008
6,0.566666666666667,0.0406
7,0.533333333333333,0.0046
8,0.6,0.0226
9,0.55,0.2008
10,0.533333333333333,0.2026
11,0.5,0.0226
12,0.55,0.2008
13,0.616666666666667,0.0028
14,0.6,0.2224
15,0.533333333333333,0.0046
16,0.5,0.2224
17,0.566666666666667,0.0028
18,0.45,0.0604
19,0.566666666666667,0.0028
20,0.5,0.001
21,0.55,0.0028
22,0.6,0.001
23,0.55,0.0208
24,0.5,0.2026
25,0.566666666666667,0.0028
26,0.516666666666667,0.0028
27,0.583333333333333,0.0028
28,0.533333333333333,0.2026
29,0.533333333333333,0.001
30,0.566666666666667,0.0244
31,0.616666666666667,0.0226
32,0.616666666666667,0.001
33,0.55,2.0008
34,0.55,0.0226
35,0.516666666666667,0.0226
36,0.633333333333333,0.0226
37,0.566666666666667,0.001
38,0.516666666666667,2.0008
39,0.583333333333333,0.0604
40,0.55,0.001
41,0.516666666666667,0.0244
42,0.616666666666667,0.0028
43,0.533333333333333,0.2008
44,0.566666666666667,0.001
45,0.55,0.2224
46,0.6,0.001
47,0.533333333333333,2.0026
48,0.583333333333333,0.001
49,0.566666666666667,0.0226
50,0.55,0.001
51,0.55,0.0226
52,0.616666666666667,0.001
53,0.583333333333333,0.0406
54,0.566666666666667,0.2008
55,0.516666666666667,0.0244
56,0.533333333333333,0.0244
57,0.516666666666667,0.0046
58,0.55,0.001
59,0.6,0.0064
60,0.55,0.2026
61,0.6,0.001
62,0.6,0.001
63,0.516666666666667,20.2006
64,0.566666666666667,0.001
65,0.633333333333333,0.0028
66,0.583333333333333,0.0208
67,0.55,0.0244
68,0.616666666666667,0.0208
69,0.55,0.2026
70,0.55,0.0046
71,0.533333333333333,0.2008
72,0.516666666666667,2.0026
73,0.55,0.0226
74,0.483333333333333,0.2008
75,0.55,0.0028
76,0.533333333333333,0.001
77,0.533333333333333,0.0208
78,0.65,0.4006
79,0.616666666666667,0.2008
80,0.583333333333333,0.001
81,0.583333333333333,0.001
82,0.583333333333333,0.001
83,0.533333333333333,0.2008
84,0.55,0.0226
85,0.566666666666667,0.0226
86,0.5,0.0226
87,0.583333333333333,0.001
88,0.566666666666667,0.0208
89,0.6,0.001
90,0.583333333333333,0.2008
91,0.55,0.0244
92,0.5,0.0226
93,0.55,0.0046
94,0.533333333333333,0.2008
95,0.583333333333333,0.001
96,0.6,0.0046
97,0.616666666666667,0.001
98,0.583333333333333,0.001
99,0.516666666666667,0.0406
100,0.566666666666667,0.0226
