"iteration","accuracy","mean_C"
1,0.516666666666667,20.062
2,0.566666666666667,0.622
3,0.533333333333333,200.44
4,0.55,0.64
5,0.516666666666667,2.422
6,0.5,2.44
7,0.5,2.2402
8,0.55,0.64
9,0.516666666666667,0.46
10,0.516666666666667,2.26
11,0.6,0.262
12,0.533333333333333,0.262
13,0.483333333333333,0.262
14,0.6,0.64
15,0.533333333333333,0.442
16,0.583333333333333,0.64
17,0.533333333333333,0.82
18,0.533333333333333,2.4202
19,0.566666666666667,20.2402
20,0.533333333333333,0.1
21,0.5,0.6202
22,0.516666666666667,0.064
23,0.483333333333333,2.0404
24,0.566666666666667,0.262
25,0.466666666666667,0.46
26,0.6,0.64
27,0.516666666666667,0.28
28,0.5,2.26
29,0.55,0.622
30,0.516666666666667,2.2222
31,0.516666666666667,0.46
32,0.616666666666667,0.262
33,0.483333333333333,0.0802
34,0.516666666666667,20.4202
35,0.55,0.4402
36,0.533333333333333,0.28
37,0.533333333333333,0.46
38,0.533333333333333,2.44
39,0.483333333333333,4.42
40,0.516666666666667,0.46
41,0.516666666666667,0.4222
42,0.533333333333333,2.26
43,0.5,0.622
44,0.566666666666667,0.4402
45,0.516666666666667,0.64
46,0.55,0.244
47,0.6,0.82
48,0.55,2.4202
49,0.583333333333333,2.4202
50,0.533333333333333,2.2402
51,0.55,0.262
52,0.55,2.62
53,0.533333333333333,0.6202
54,0.55,0.4402
55,0.566666666666667,2.4004
56,0.55,0.46
57,0.516666666666667,0.64
58,0.533333333333333,0.8002
59,0.566666666666667,0.442
60,0.5,0.46
61,0.5,0.2602
62,0.6,0.46
63,0.533333333333333,2.62
64,0.533333333333333,0.2602
65,0.483333333333333,0.4402
66,0.55,2.44
67,0.533333333333333,2.62
68,0.566666666666667,0.4402
69,0.5,0.46
70,0.516666666666667,2.4022
71,0.55,2.44
72,0.5,0.46
73,0.55,0.82
74,0.55,2.8
75,0.533333333333333,200.242
76,0.516666666666667,0.64
77,0.516666666666667,0.64
78,0.533333333333333,0.64
79,0.5,2.4022
80,0.533333333333333,0.28
81,0.55,0.2602
82,0.483333333333333,0.28
83,0.533333333333333,2.4202
84,0.516666666666667,0.1
85,0.566666666666667,2.26
86,0.483333333333333,0.28
87,0.5,0.262
88,0.55,0.0622
89,0.566666666666667,0.424
90,0.55,0.46
91,0.5,4.06
92,0.616666666666667,2.4202
93,0.566666666666667,2.26
94,0.55,20.62
95,0.566666666666667,0.64
96,0.483333333333333,0.262
97,0.516666666666667,0.46
98,0.55,0.4402
99,0.5,0.28
100,0.55,2.602
