"iteration","accuracy","mean_C"
1,0.483333333333333,0.001
2,0.516666666666667,0.001
3,0.466666666666667,0.001
4,0.5,0.001
5,0.5,0.001
6,0.483333333333333,0.001
7,0.516666666666667,0.001
8,0.483333333333333,0.001
9,0.466666666666667,0.001
10,0.516666666666667,0.001
11,0.5,0.001
12,0.55,0.001
13,0.5,0.001
14,0.5,0.001
15,0.533333333333333,0.001
16,0.483333333333333,0.001
17,0.583333333333333,0.001
18,0.533333333333333,0.0028
19,0.533333333333333,0.001
20,0.483333333333333,0.001
21,0.466666666666667,0.001
22,0.5,0.001
23,0.516666666666667,0.001
24,0.466666666666667,0.001
25,0.5,0.001
26,0.483333333333333,0.001
27,0.516666666666667,0.001
28,0.466666666666667,0.001
29,0.466666666666667,0.001
30,0.533333333333333,0.001
31,0.55,0.001
32,0.45,0.001
33,0.55,0.001
34,0.533333333333333,0.001
35,0.516666666666667,0.001
36,0.5,0.001
37,0.5,0.0028
38,0.55,0.001
39,0.55,0.001
40,0.516666666666667,0.001
41,0.516666666666667,0.001
42,0.433333333333333,0.001
43,0.5,0.001
44,0.5,0.001
45,0.55,0.001
46,0.483333333333333,0.001
47,0.55,0.001
48,0.566666666666667,0.001
49,0.533333333333333,0.001
50,0.55,0.001
51,0.5,0.001
52,0.583333333333333,0.001
53,0.466666666666667,0.001
54,0.466666666666667,0.001
55,0.55,0.001
56,0.45,0.001
57,0.516666666666667,0.001
58,0.483333333333333,0.001
59,0.5,0.001
60,0.55,0.001
61,0.483333333333333,0.001
62,0.5,0.001
63,0.466666666666667,0.001
64,0.483333333333333,0.001
65,0.45,0.001
66,0.45,0.001
67,0.533333333333333,0.001
68,0.5,0.001
69,0.5,0.001
70,0.466666666666667,0.001
71,0.516666666666667,0.001
72,0.466666666666667,0.0208
73,0.516666666666667,0.001
74,0.5,0.001
75,0.55,0.001
76,0.483333333333333,0.001
77,0.5,0.001
78,0.466666666666667,0.001
79,0.483333333333333,200.0008
80,0.533333333333333,0.001
81,0.516666666666667,0.001
82,0.5,0.001
83,0.55,0.001
84,0.516666666666667,0.001
85,0.466666666666667,0.001
86,0.516666666666667,0.001
87,0.483333333333333,0.0028
88,0.433333333333333,0.001
89,0.516666666666667,0.001
90,0.533333333333333,0.001
91,0.55,0.001
92,0.533333333333333,0.001
93,0.433333333333333,0.001
94,0.516666666666667,0.001
95,0.483333333333333,0.001
96,0.466666666666667,0.001
97,0.5,0.001
98,0.466666666666667,0.001
99,0.5,0.001
100,0.516666666666667,0.001
