n,role(A=1),lead(L/LF=1),CH/CH_pair,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
1,1,1,1,0.426807032234834,0.277299300100427,0.273379793648221,0.241864648262868,0.299598181874923,0.361089269885968,0.434924620510473,0.255618846612432,0.252528077723943,0.408777566674647,0.324845914265843,0.244631545279308,0.295566847344525,0.371263030661579,0.276857645393724,0.274530174228906,0.46623327602573,0.327038622116925,0.22915130302835,0.276429255996087,0.378508427647113,0.32518294765758,0.310818043138269,0.336973640684419
1,1,0,1,0.449726827418632,0.332710851188219,0.334567436681272,0.387480273882334,0.3513687722813,0.317233820951985,0.351210713042673,0.347241296488377,0.387828168561638,0.335854240766165,0.396126343222839,0.280869338465043,0.330251396586433,0.301331753729603,0.302920109922529,0.384005304736503,0.31783991312133,0.33864166418295,0.31674822064445,0.332655126888883,0.330786077175512,0.269200267643279,0.322947397688827,0.494014641547123
1,2,1,1,0.402205078543576,0.302286219611221,0.427313316405927,0.346823818129888,0.433721875550485,0.350947649680504,0.426484145195873,0.347861044838585,0.323587453010109,0.331502074093831,0.307979051156468,0.27584056466656,0.318919536492957,0.306417635702287,0.190827232505924,0.287929801698363,0.326721800337626,0.294715011458011,0.301246026879559,0.330769004179828,0.342010933740958,0.266916589413858,0.254798051073227,0.38854251251328
1,2,0,1,0.472799579670169,0.320104673438725,0.258388287160367,0.332433090909643,0.286027381585722,0.319649693458273,0.356554340560608,0.300622363905157,0.350443872246946,0.37410188342083,0.404280287308646,0.265419629569255,0.318190533873262,0.3331949906899,0.348280094458146,0.379642016707194,0.383996741417408,0.358149366977515,0.279261664633377,0.307281594686793,0.348415179001847,0.298409765048157,0.35145174827365,0.468208309256247
1,1,1,2,0.512492698021734,0.322584362427819,0.335683827731573,0.42506431717696,0.312299143583721,0.347840355826506,0.327201507833642,0.419270726604787,0.24838110547574,0.204531401608156,0.445140703734368,0.32830389352363,0.320783097721403,0.365669436985364,0.371155299701229,0.294721144829674,0.339818252219851,0.348238479873808,0.261015911484161,0.37307312622681,0.371495634799884,0.229615727501689,0.405139758304289,0.38879564676686
1,1,0,2,0.708452544256623,0.324826966753556,0.278125975275324,0.352401385947128,0.225094307421265,0.274068351553207,0.296818699025895,0.270833692578191,0.260853526179932,0.364777818843379,0.417473871011109,0.254829991702974,0.365621297059905,0.340076719757549,0.37151415903487,0.387579813349462,0.308246551803317,0.354104188624386,0.261823064696394,0.253100878552358,0.282997427500979,0.270027578458647,0.294284684559738,0.350083711282219
1,2,1,2,0.772428241111709,0.482549751745546,0.298374295100266,0.342516214119796,0.277004816052109,0.379926693715927,0.236891761274414,0.294379528872721,0.208076132404215,0.334556059686079,0.488421386504194,0.325007724012182,0.254004881935137,0.381109687090388,0.289346240464848,0.402910265600022,0.345882300563651,0.472645659390723,0.220049105193256,0.25240428683775,0.274541156111672,0.33673507160253,0.347004194398849,0.43036591628131
1,2,0,2,0.579737132538912,0.250253180777305,0.296342743081961,0.39572536064821,0.242656848150219,0.258945334739893,0.342988479440393,0.332159612650825,0.279144861026451,0.298611836601009,0.394951172856259,0.256553836624009,0.407564575692384,0.330160041697136,0.41066801173082,0.333506372313973,0.306044184306654,0.292566454058848,0.281842891680511,0.312417171291605,0.331126035453946,0.218067708457585,0.322806640071867,0.334398081297858
1,1,1,3,0.398393612669664,0.319885248931842,0.252386018154752,0.378118409154513,0.314703067737818,0.372227665187805,0.425096623451797,0.237070825136592,0.206897656949263,0.265183782585265,0.365739422161666,0.266735962634394,0.281906942984727,0.335303766897607,0.29529418032562,0.370537531156684,0.446931692982757,0.305916659786616,0.234671707766136,0.192568288589056,0.374473883477404,0.275631775277351,0.358451100555865,0.310711685062543
1,1,0,3,0.431703899604294,0.331966942833659,0.284217374582995,0.341523817012296,0.308798620574705,0.348742440004221,0.491882536179098,0.412098673735718,0.361154388357102,0.360858647656684,0.40373724592266,0.264008222369883,0.311763993634331,0.300874750435014,0.289408991056302,0.343568564679384,0.386617882723694,0.341701658373138,0.282652693331286,0.25352415287977,0.353306561827341,0.318249796395377,0.317043142134565,0.40388533236031
