n,role(A=1),lead(L/LF=1),CH/CH_pair,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
1,1,1,1,0.576670221045111,0.391081277775228,0.374522802378647,0.294624745466992,0.337985911225354,0.21287693128504,0.39169968740706,0.43341365103977,0.249840483484163,0.297926668153947,0.306911321854736,0.226207041970468,0.218795609836691,0.241895190228956,0.267681619952347,0.26877443166178,0.437273525352381,0.341834644363216,0.269435102739911,0.360123579502827,0.34935441302957,0.287208674629742,0.343841146944721,0.348792347002248
1,1,0,1,0.425973927974716,0.475473400896407,0.359394362094778,0.481930270811258,0.251758826137832,0.230884763494991,0.220720030877246,0.258083124330235,0.167937953049326,0.233120787813412,0.25428758274465,0.302099488347557,0.150606699285052,0.265475726315958,0.515944538457619,0.450850235764462,0.498787966261661,0.282188077667597,0.373253196217699,0.198851833906003,0.336160560453712,0.413525303861417,0.391634352328895,0.602231804173011
1,2,1,1,0.308444909264383,0.26146216817462,0.420413076286435,0.401372272620772,0.288601835947351,0.413716869421502,0.414257602738957,0.310588817037311,0.27114091137674,0.339206643464675,0.359684978496637,0.315804025310052,0.361351338948239,0.30438585781418,0.260093779180464,0.282347767328924,0.385218052019418,0.199605963230226,0.260105208230358,0.30958724419548,0.39073618594689,0.260909641164074,0.375037319800266,0.448734788540093
1,2,0,1,0.264616250566329,0.330113041988396,0.332682933366099,0.311376974110851,0.349701150826404,0.445131742967099,0.316279888295083,0.125631533398426,0.292473323057767,0.209125866606116,0.274947985004823,0.176589810612796,0.386363054281947,0.204255500879168,0.253812708738137,0.340591272753505,0.167780659853925,0.21600619062747,0.301016925414533,0.266968073176879,0.283695161700543,0.179133074427061,0.206867374774679,0.348833245437165
1,1,1,2,0.467777743767599,0.29282878570516,0.28651217447482,0.513116172305673,0.333802126292069,0.346938968221825,0.407191613462972,0.394764762750919,0.315727064900933,0.184472085676871,0.364357639345977,0.34846679022308,0.308481874998153,0.242010360037092,0.29752648643939,0.250903458036493,0.303484808099137,0.360036598325291,0.171190231428891,0.243562585747161,0.259542280399415,0.197797530695988,0.331905439058036,0.534790890107089
1,1,0,2,0.530908760363622,0.207231495725571,0.138417243560542,0.365265099578594,0.279406057526515,0.191729033928752,0.699361084007925,0.4581892222367,0.145697686182552,0.396543050401768,0.494502156088997,0.261758465891828,0.330317506122998,0.167361417798119,0.257917619252752,0.295690560896263,0.108837551823708,0.395769946206483,0.365932358755175,0.83597463789267,0.254857640142948,0.309688339571891,0.237654423271242,0.592762949461675
1,2,1,2,0.711252621180663,0.233730200106053,0.190357201003657,0.59147107558216,0.372900559373873,0.43551337541404,0.168218024806284,0.27961530662876,0.206311303715568,0.445240506045136,0.522870752797907,0.186369223685548,0.420538158735699,0.413129704408769,0.243372307338175,0.467357161106617,0.457050971983732,0.358179502982575,0.556870626857515,0.370448787002893,0.320256655989896,0.298220173083986,0.376809107319776,0.347783680839034
1,2,0,2,0.59375479974635,0.178347662124121,0.19578857135347,0.277229233587184,0.132140558973438,0.151365886861886,0.361696044511637,0.231255200209009,0.19096619380894,0.306329605834614,0.325392955961969,0.248486750371598,0.347781359799908,0.184049192163132,0.262904567418771,0.138067111563731,0.228365558964038,0.246934001865373,0.19558520052387,0.320167856006122,0.525040529037257,0.241965936819293,0.348841133617397,0.247062244640591
1,1,1,3,0.533228720464194,0.490838827032277,0.485464679070891,0.347998019988056,0.30578209404587,0.251597403158045,0.386731975778321,0.390434563292459,0.277817857899705,0.256156608547447,0.379794222628855,0.356893608765005,0.257261625761381,0.276385024976219,0.315187575250717,0.385622218840663,0.557423344353906,0.388262158913081,0.24916665219401,0.351688772935331,0.409086761136152,0.387999409204366,0.367907639581783,0.37441855226236
1,1,0,3,0.362225084459612,0.378493618146847,0.307885907475845,0.475524638983931,0.480219796736153,0.189087619432004,0.387614269355694,0.270112319557402,0.175074438052779,0.53378191740451,0.305606556076065,0.187574752356668,0.331216776628077,0.250330231651823,0.398152568452865,0.421742160997682,0.545393208434014,0.330348400917658,0.288161511406666,0.195272259750501,0.318290715007638,0.294056931105345,0.283667429878416,0.463985746805255
